"Wavelength, nm",E-490 W/m2/nm
199.5,6.19e-05
200.5,0.000561
201.5,0.0049
202.5,0.00118
203.5,4.77e-05
204.5,3.43e-05
205.5,2.88e-05
206.5,3.52e-05
207.5,2.13e-05
208.5,1.73e-05
209.5,3.99e-05
210.5,0.000121
211.5,3.98e-05
212.5,4.13e-05
213.5,0.000168
214.5,4.57e-05
215.5,3.8e-05
216.5,3.09e-05
217.5,2.92e-05
218.5,3.97e-05
219.5,7.56e-05
220.5,6.08e-05
221.5,4.21e-05
222.5,4.68e-05
223.5,5.11e-05
224.5,5.09e-05
225.5,5.54e-05
226.5,7.09e-05
227.5,8.49e-05
228.5,8.2e-05
229.5,7.96e-05
230.5,8.7e-05
231.5,9.27e-05
232.5,0.000116
233.5,0.00013
234.5,0.000206
235.5,0.000214
236.5,0.000185
237.5,0.000172
238.5,0.000168
239.5,0.000175
240.5,0.000193
241.5,0.000223
242.5,0.000252
243.5,0.000284
244.5,0.000297
245.5,0.00043
246.5,0.000399
247.5,0.000388
248.5,0.000456
249.5,0.000588
250.5,0.000662
251.5,0.000688
252.5,0.000725
253.5,0.000765
254.5,0.000907
255.5,0.00108
256.5,0.00122
257.5,0.0014
258.5,0.00154
259.5,0.00158
260.5,0.00183
261.5,0.00223
262.5,0.00224
263.5,0.00224
264.5,0.00207
265.5,0.00231
266.5,0.0027
267.5,0.00301
268.5,0.00329
269.5,0.00357
270.5,0.00376
271.5,0.00417
272.5,0.00411
273.5,0.00381
274.5,0.00521
275.5,0.00543
276.5,0.00601
277.5,0.00619
278.5,0.00619
279.5,0.00666
280.5,0.00733
281.5,0.00802
282.5,0.00826
283.5,0.00922
284.5,0.0103
285.5,0.0105
286.5,0.0111
287.5,0.0127
288.5,0.0151
289.5,0.0214
290.5,0.0279
291.5,0.0335
292.5,0.0313
293.5,0.0332
294.5,0.04
295.5,0.0362
296.5,0.0323
297.5,0.0353
298.5,0.0444
299.5,0.0469
300.5,0.0473
301.5,0.0396
302.5,0.0497
303.5,0.063
304.5,0.059
305.5,0.0523
306.5,0.0394
307.5,0.0399
308.5,0.052
309.5,0.0477
310.0,0.0521
310.4,0.051
310.8,0.0533
311.2,0.0447
311.6,0.039
312.0,0.0514
312.4,0.0486
312.8,0.0484
313.2,0.042
313.6,0.0441
314.0,0.0396
314.4,0.0515
314.8,0.0706
315.2,0.0665
315.6,0.061
316.0,0.0494
316.4,0.0504
316.8,0.0555
317.2,0.0457
317.6,0.0564
318.0,0.0601
318.4,0.046
318.8,0.0416
319.2,0.0516
319.6,0.0596
320.0,0.0793
320.4,0.102
320.8,0.125
321.2,0.125
321.6,0.104
322.0,0.0855
322.4,0.0898
322.8,0.104
323.2,0.166
323.6,0.25
324.0,0.253
324.4,0.249
324.8,0.251
325.2,0.244
325.6,0.239
326.0,0.267
326.4,0.224
326.8,0.197
327.2,0.197
327.6,0.133
328.0,0.175
328.4,0.243
328.8,0.234
329.2,0.159
329.6,0.0856
330.0,0.0946
330.4,0.208
330.5,0.294
331.5,0.314
332.5,0.235
333.5,0.163
334.5,0.323
335.5,0.336
336.5,0.322
337.5,0.473
338.5,0.601
339.5,0.581
340.5,0.522
341.5,0.536
342.5,0.509
343.5,0.553
344.5,0.51
345.5,0.507
346.5,0.466
347.5,0.484
348.5,0.42
349.5,0.456
350.5,0.489
351.5,0.621
