"Wavelength, nm",E-490 W/m2/nm
119.5,6.19E-05
120.5,5.61E-04
121.5,4.90E-03
122.5,1.18E-03
123.5,4.77E-05
124.5,3.43E-05
125.5,2.88E-05
126.5,3.52E-05
127.5,2.13E-05
128.5,1.73E-05
129.5,3.99E-05
130.5,1.21E-04
131.5,3.98E-05
132.5,4.13E-05
133.5,1.68E-04
134.5,4.57E-05
135.5,3.80E-05
136.5,3.09E-05
137.5,2.92E-05
138.5,3.97E-05
139.5,7.56E-05
140.5,6.08E-05
141.5,4.21E-05
142.5,4.68E-05
143.5,5.11E-05
144.5,5.09E-05
145.5,5.54E-05
146.5,7.09E-05
147.5,8.49E-05
148.5,8.20E-05
149.5,7.96E-05
150.5,8.70E-05
151.5,9.27E-05
152.5,1.16E-04
153.5,1.30E-04
154.5,2.06E-04
155.5,2.14E-04
156.5,1.85E-04
157.5,1.72E-04
158.5,1.68E-04
159.5,1.75E-04
160.5,1.93E-04
161.5,2.23E-04
162.5,2.52E-04
163.5,2.84E-04
164.5,2.97E-04
165.5,4.30E-04
166.5,3.99E-04
167.5,3.88E-04
168.5,4.56E-04
169.5,5.88E-04
170.5,6.62E-04
171.5,6.88E-04
172.5,7.25E-04
173.5,7.65E-04
174.5,9.07E-04
175.5,1.08E-03
176.5,1.22E-03
177.5,1.40E-03
178.5,1.54E-03
179.5,1.58E-03
180.5,1.83E-03
181.5,2.23E-03
182.5,2.24E-03
183.5,2.24E-03
184.5,2.07E-03
185.5,2.31E-03
186.5,2.70E-03
187.5,3.01E-03
188.5,3.29E-03
189.5,3.57E-03
190.5,3.76E-03
191.5,4.17E-03
192.5,4.11E-03
193.5,3.81E-03
194.5,5.21E-03
195.5,5.43E-03
196.5,6.01E-03
197.5,6.19E-03
198.5,6.19E-03
199.5,6.66E-03
200.5,7.33E-03
201.5,8.02E-03
202.5,8.26E-03
203.5,9.22E-03
204.5,1.03E-02
205.5,1.05E-02
206.5,1.11E-02
207.5,1.27E-02
208.5,1.51E-02
